Region,Basin,Station,Landuse,Size,ID,Long,Lat,MaxT_Station,Distance,Percent,Start_yr,End_yr,,MaxT_Station,Distance,Percent,Start_yr
VIC,Goulburn,Brankeet Creek at Ancona,Mixed,121.8,405251,145.7855,-36.9688,,,,,,,,,,
VIC,Yarra River,Saltwatercreek at Bullengarook,Mixed,38.7,230210,144.5243,-37.4718,,,,,,,,,,
VIC,Mitchell-Thomson Rivers,Loch River,Mostly Forested,101.8,226220,146.0083,-37.8667,,,,,,,,,,
VIC,Mitchell-Thomson Rivers,Morwell River at Boolarra,Mixed,115.9,226407,146.3054,-38.407,,,,,,,,,,
VIC,Campaspe River,Campaspe River at Ashborne,Mixed,37.6,406208,144.4517,-37.39,,,,,,,,,,
VIC,Loddon River,Joyces Creek at Strathlea,Mixed,156,407230,143.9583,-37.1667,,,,,,,,,,
VIC,Avoca River,Avoca River at Amphitheatre,"Mixed - mostly agricultural, town, mine",82.6,408202,143.4056,-37.182,,,,,,,,,,
NT,Finniss River,Elizabether River at Sturt Highway,Mixed?,95.6,G8150018,131.078,-12.605,,,,,,,,,,
WA,Warren River,Dombakup Brook at Malimup Track,Mixed?,115.7,607155,115.9723,-34.5787,,,,,,,,,,
WA,Murray River (WA),Clarke Brook at Hillview Farm,Mixed,18.7,613146,115.92,-33,,,,,,,,,,
