Record identifier,Bureau of Meteorology Station Number,Rainfall district code,Station Name,Month/Year site opened. (MM/YYYY),Month/Year site closed. (MM/YYYY),Latitude to 4 decimal places in decimal degrees,Longitude to 4 decimal places in decimal degrees,Method by which latitude/longitude was derived,State,Height of station above mean sea level in metres,Height of barometer above mean sea level in metres,WMO (World Meteorological Organisation) Index Number,First year of data supplied in data file,Last year of data supplied in data file,Percentage complete between first and last records,Percentage of values with quality flag 'Y',Percentage of values with quality flag 'N',Percentage of values with quality flag 'W',Percentage of values with quality flag 'S',Percentage of values with quality flag 'I',
st,14864,14F ,MOOLOOLOO                               ,Jan-89,       ,-16.334,131.5148,GPS            ,NT ,120,      ,     ,1989,2015,91,99,1,0,  *,0,#
st,14865,14F ,MOUNT SANFORD                           ,Jan-86,       ,-16.9817,130.5598,GPS            ,NT ,220,      ,     ,1986,2015,95,97,2,0,1,0,#
st,14866,14F ,UPPER VICTORIA RIVER                    ,Oct-02,       ,-17.6129,130.0714,GPS            ,NT ,406,      ,     ,2002,2015,75,0,100,0,0,0,#
st,14867,14F ,UPPER WICKHAM RIVER                     ,Oct-02,       ,-16.9566,130.5674,GPS            ,NT ,242,      ,     ,2002,2015,70,0,100,0,0,0,#
st,14868,14F ,PIGEON HOLE                             ,Feb-02,       ,-16.8526,131.1597,GPS            ,NT ,145,      ,     ,2003,2015,94,89,11,0,  *,0,#
st,14900,14GA,DRY RIVER                               ,Jan-68,       ,-15.2437,132.1548,GPS            ,NT ,180,      ,     ,1968,2015,57,98,1,0,  *,0,#
st,14901,14GA,DOUGLAS RIVER                           ,Aug-68,       ,-13.8345,131.1872,GPS            ,NT ,42.8,44.2,94128,1968,2015,90,97,2,0,1,0,#
st,14902,14GA,KATHERINE COUNCIL                       ,01/1873,       ,-14.4589,132.2572,GPS            ,NT ,106.9,109,     ,1873,2015,88,98,1,  *,1,0,#
st,14903,14GA,KATHERINE AVIATION MUSEUM               ,Jan-42,       ,-14.4437,132.2737,GPS            ,NT ,108,      ,     ,1943,2015,54,99,  *,0,  *,0,#
st,14906,14GA,FISH RIVER                              ,Jan-68,       ,-14.1894,130.8815,GPS            ,NT ,87,      ,     ,1968,2015,10,49,51,0,0,0,#
st,14907,14GA,LITCHFIELD                              ,Jan-68,       ,-13.4279,130.4939,GPS            ,NT ,15,      ,     ,1968,2015,63,95,1,0,3,0,#
st,14909,14GA,CENTRAL ARNHEM PLATEAU                  ,Jul-03,       ,-13.3275,133.0861,GPS            ,NT ,416,416.3,94141,2003,2015,92,66,34,0,  *,0,#
st,14910,14GA,KATHERINE RESEARCH FARM                 ,Jan-69,       ,-14.4741,132.3053,GPS            ,NT ,109.7,      ,     ,1969,2014,98,98,1,0,1,0,#
st,14913,14GA,ELIZABETH DOWNS                         ,Jan-62,       ,-13.7439,130.4933,GPS            ,NT ,36,      ,     ,1962,2015,78,98,  *,0,2,0,#
st,14917,14GA,JINDARE                                 ,Jan-60,       ,-14.0155,131.6105,GPS            ,NT ,120,      ,     ,1960,2012,74,99,0,0,1,0,#
st,14921,14GA,WILLEROO                                ,Jan-09,       ,-15.287,131.5817,GPS            ,NT ,213,      ,     ,1909,2015,78,99,  *,0,  *,0,#
st,14925,14GA,TIPPERARY                               ,Jan-35,       ,-13.7352,131.0437,GPS            ,NT ,73,      ,     ,1935,2014,54,99,  *,0,1,0,#
st,14927,14GA,CDU KATHERINE RURAL CAMPUS              ,Jan-58,       ,-14.3727,132.1559,GPS            ,NT ,142.3,      ,     ,1958,2015,87,98,1,0,2,0,#
st,14932,14GA,TINDAL RAAF                             ,Jan-69,       ,-14.5229,132.3826,GPS            ,NT ,133.6,135,94131,1969,2015,77,74,26,  *,  *,0,#
st,14933,14GA,PINE CREEK                              ,01/1874,       ,-13.8241,131.8372,GPS            ,NT ,189,      ,     ,1874,2011,84,98,1,0,1,0,#
st,14938,14GA,MANGO FARM                              ,May-80,       ,-13.7379,130.6834,GPS            ,NT ,15.2,16.2,94117,1980,2015,99,99,1,  *,  *,0,#
st,14939,14GA,SCOTT CREEK                             ,Jan-80,       ,-14.8646,131.8443,GPS            ,NT ,146,      ,     ,1980,2015,79,99,1,0,1,0,#
st,14940,14GA,DORISVALE                               ,Jun-81,       ,-14.4995,131.3468,GPS            ,NT ,99.2,      ,     ,1983,2015,86,94,6,0,  *,0,#
st,14941,14GA,OOLLOO                                  ,Jan-62,       ,-13.9152,131.2117,GPS            ,NT ,35,      ,     ,1962,2013,97,99,  *,0,1,0,#
st,14947,14GA,UPPER FERGUSSON RIVER                   ,Aug-93,       ,-14.0106,132.2084,GPS            ,NT ,186,      ,     ,1995,2015,62,0,100,0,0,0,#
st,14948,14GA,PORT KEATS AIRPORT                      ,Nov-96,       ,-14.2494,129.5282,GPS            ,NT ,28,29,95111,1997,2015,78,66,33,  *,  *,0,#
st,14949,14GA,DELAMERE WEAPONS RANGE                  ,Mar-97,       ,-15.7441,131.9181,GPS            ,NT ,221,221.5,94225,1997,2015,96,66,34,  *,  *,0,#
st,14950,14GA,MOUNT FELIX                             ,Sep-05,       ,-14.1242,132.6379,GPS            ,NT ,292,      ,     ,2005,2015,86,0,100,0,0,0,#
st,14951,14GA,MARGARET DOWNS                          ,Jan-91,       ,-15.4219,132.2722,GPS            ,NT ,180,      ,     ,1991,2015,82,98,1,0,1,0,#
st,14955,14GA,NITMILUK RANGERS                        ,Jun-97,       ,-14.3203,132.4218,GPS            ,NT ,120,      ,     ,1997,2015,98,80,18,0,1,0,#
st,14956,14GA,BONALBO                                 ,Aug-96,       ,-13.9491,131.319,GPS            ,NT ,102,      ,     ,1996,2015,96,98,1,0,1,0,#
